name,band
(Virginia Labuat),Labuat
"Aagre, Froy",Trondheim Jazz Orchestra
"Aalberg, Espen",The Core
"Aarum, Anders",Funky Butt
Abdul Fakir,The Four Tops
Abdul Fakir,Four Tops
"Abdul \""Duke\"" Fakir",The Four Tops
"Abdul \""Duke\"" Fakir",Four Tops
Abram Wilson,Gary Crosby's Nu Troop
Acoustic Ladyland,Polar Bear
Adam Davy,Never the Bride
Adrian Klumpes,Triosk
Adrian Pradhan,1974
Adrian Pradhan,Time Out
Adrian Pradhan,Aath Athara
Adrian Pradhan,Samjhi Baschu
Afrika Baby Bam,Jungle Brothers
Airto Moreira,Sambrasa Trio
Albert Lee,Bill Wyman's Rhythm Kings
"Alegre, Juan Bautists",Johnny Alegre AFFINITY
Alex Iles,Chris Walden Big Band
"Almond, Johnny",Mark-Almond
"Alnæs, Frode",Masqualero
"Alperin, Mikhail",Moscow Art Trio
"Altenburgh, John",Johnny & The MoTones
Anders Aarum,Funky Butt
Anders Hana,Ultralyd
Anders Jormin,Magnetic North Orchestra
"Andersen, Arild",Masqualero
"Anderson, Reid",The Bad Plus
"Andoh, Masahiro",T-Square
"Andoh, Masahiro",Ottottrio
Andreas Hedlund,Waterclime
Andreas Mjøs,Jaga Jazzist
Andreas Ulvo,Eple Trio
Andrew Burnett Creeggan,The Brothers Creeggan
Andrew Lansley,Thrill Collins
André Roligheten,Albatrosh
Andy Creeggan,The Brothers Creeggan
Ane Carmen Roggen,Pitsj
Anine Kruse,Pitsj
Anita Pointer,The Pointer Sisters
Anja Eline Skybakmoen,Pitsj
Ann Marie Calhoun,Gary Ruley and Mule Train
Anne-Marie Giørtz,Ab und Zu
Anri,Cradle Orchestra
Anthony Jackson,Paul Peress
Anthony Jackson,"Peress, Paul"
Anthony Joseph,Anthony Joseph & The Spasm Band
Anthony Rodriguez,Soulganic
Anton Eger,Phronesis
Antonio Sánchez,Pat Metheny Group
Ara Dinkjian,Night Ark
Archer Prewitt,The Sea and Cake
Ardeshir Farah,Strunz & Farah
"Arguelles, Julian",Loose Tubes
"Arguelles, Steve",Loose Tubes
Arild Andersen,Masqualero
Armen Donelian,Night Ark
"Arnesen, Dag",Bergen Big Band
"Arntzen, Roger",In the Country
Arto Tunçboyacıyan,Night Ark
Arve Henriksen,Magic Pocket
Arve Henriksen,Magnetic North Orchestra
Arve Henriksen,Veslefrekk
Arve Henriksen,Trondheim Jazz Orchestra
"Asbjørnsen, Kristin",Kvitretten
"Asbjørnsen, Kristin",Dadafon
Ashley Slater,Loose Tubes
"Aston, Jay",Bucks Fizz
"Aston, Jay",OBF
Atle Nymo,Motif
Atle Nymo,Trondheim Jazz Orchestra
"Ato, Yoshifumi",miu-clips
Audun Kleive,1300
Audun Kleive,Extended Noise
Audun Kleive,Generator X
"Augestad, Tora",Music for a While
"Automator, Dan The",Got a Girl
"Automator, Dan The",I Love You But I Must Drive Off This Cliff Now
"Axelrod, Victor",Antibalas
B. B. Dickerson,Lee Oskar
B. B. Dickerson,"Oskar, Lee"
"Baar, Jon Audun",Pixel
"Bailey, Philip","Earth, Wind & Fire"
"Bailey, Steve",Bass Extremes
"Baker, Cheryl",Bucks Fizz
"Baker, Cheryl",OBF
"Balakrishnan, David",Turtle Island Quartet
"Balke, Erik",1300
"Balke, Erik",Extended Noise
"Balke, Erik",Jazzpunkensemblet
"Balke, Jon",1300
"Balke, Jon",Masqualero
"Balke, Jon",Magnetic North Orchestra
"Balke, Jon",Batagraf
"Ballamy, Iain",Human Chain
"Ballamy, Iain",Food
"Ballamy, Iain",Loose Tubes
"Batchelor, Chris",Loose Tubes
"Bates, Django",Human Chain
"Bates, Django",Loose Tubes
"Bates, Django",StoRMChaser
Beate S. Lech,Beady Belle
"Bell, Robert Kool",Kool & the Gang
"Bell, Ronald",Kool & the Gang
Ben Kenney,Time-Lapse Consortium
Ben Kenny,Time-Lapse Consortium
Ben Wendel,Kneebody
Benedikte Kruse,Pitsj
Benedikte Shetelig Kruse,Pitsj
"Bergeron, Wayne",Chris Walden Big Band
"Bernstein, Peter",The Blue Note 7
Bill Charlap,The Blue Note 7
Bill Lowrey,Peninsula Banjo Band
Bill Wyman,Bill Wyman's Rhythm Kings
Billy Martin,Medeski Martin & Wood
Biswabijoy Sen,Kollage
Bjørn Jenssen,Jazzpunkensemblet
Bjørn Kjellemyr,Jazzpunkensemblet
"Black, Jim",Human Feel
"Blank, Boris",Yello
Blink Indonesia,Blink Indonesia
Bob McChesney,Chris Walden Big Band
Bobby Broom,The Bobby Broom Trio
"Bogie, Stuart D.",Antibalas
"Bohanon, George",Clayton-Hamilton Jazz Orchestra
"Bonds, Gary U.S.",Bill Wyman's Rhythm Kings
Boris Blank,Yello
Brad Houser,Critters Buggin
Brandon Fields,Chris Walden Big Band
"Brandtsegg, Oyvind",Trondheim Jazz Orchestra
Brian Dunning,Nightnoise
Brian Haas,Jacob Fred Jazz Odyssey
"Broad, Graham",Bill Wyman's Rhythm Kings
"Brody, Max",Euripides Pants
"Broo, Magnus",Atomic
"Brooks, Colin",Dan Zanes and Friends
